,GeneSymbol,Type,ClinicalSignificance,clinsig
8740,BRCA2,single nucleotide variant,Likely benign,Likely benign
8741,BRCA2,single nucleotide variant,Likely benign,Likely benign
8742,BRCA2,single nucleotide variant,Likely benign,Likely benign
8743,BRCA2,single nucleotide variant,Likely benign,Likely benign
8744,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
8745,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
8746,BRCA2,single nucleotide variant,Likely benign,Likely benign
8747,BRCA2,single nucleotide variant,Likely benign,Likely benign
8748,BRCA2,single nucleotide variant,Likely benign,Likely benign
8749,BRCA2,single nucleotide variant,Likely benign,Likely benign
8750,BRCA2,single nucleotide variant,Likely benign,Likely benign
8751,BRCA2,single nucleotide variant,Likely benign,Likely benign
8752,BRCA2,single nucleotide variant,Likely benign,Likely benign
8753,BRCA2,single nucleotide variant,Likely benign,Likely benign
8754,BRCA2,single nucleotide variant,Likely benign,Likely benign
8755,BRCA2,single nucleotide variant,Likely benign,Likely benign
8756,BRCA2,Deletion,Pathogenic,Pathogenic
8757,BRCA2,Deletion,Pathogenic,Pathogenic
8758,BRCA2,single nucleotide variant,Likely benign,Likely benign
8759,BRCA2,single nucleotide variant,Likely benign,Likely benign
8760,BRCA2,single nucleotide variant,Likely benign,Likely benign
8761,BRCA2,single nucleotide variant,Likely benign,Likely benign
8762,BRCA2,single nucleotide variant,Likely benign,Likely benign
8763,BRCA2,single nucleotide variant,Likely benign,Likely benign
8764,BRCA2,Deletion,Pathogenic,Pathogenic
8765,BRCA2,Deletion,Pathogenic,Pathogenic
8766,BRCA2,single nucleotide variant,Likely benign,Likely benign
8767,BRCA2,single nucleotide variant,Likely benign,Likely benign
8768,BRCA2,single nucleotide variant,Likely benign,Likely benign
8769,BRCA2,single nucleotide variant,Likely benign,Likely benign
8770,BRCA2,single nucleotide variant,Likely benign,Likely benign
8771,BRCA2,single nucleotide variant,Likely benign,Likely benign
8772,BRCA2,single nucleotide variant,Likely benign,Likely benign
8773,BRCA2,single nucleotide variant,Likely benign,Likely benign
8774,BRCA2,single nucleotide variant,Likely benign,Likely benign
8775,BRCA2,single nucleotide variant,Likely benign,Likely benign
8776,BRCA2,single nucleotide variant,Likely benign,Likely benign
8777,BRCA2,single nucleotide variant,Likely benign,Likely benign
8778,BRCA2,single nucleotide variant,Likely benign,Likely benign
8779,BRCA2,single nucleotide variant,Likely benign,Likely benign
8780,BRCA2,Duplication,Pathogenic,Pathogenic
8781,BRCA2,Duplication,Pathogenic,Pathogenic
8782,BRCA2,single nucleotide variant,Likely benign,Likely benign
8783,BRCA2,single nucleotide variant,Likely benign,Likely benign
8784,BRCA2,single nucleotide variant,Likely benign,Likely benign
8785,BRCA2,single nucleotide variant,Likely benign,Likely benign
8786,BRCA2,single nucleotide variant,Likely benign,Likely benign
8787,BRCA2,single nucleotide variant,Likely benign,Likely benign
8788,BRCA2,single nucleotide variant,Likely benign,Likely benign
8789,BRCA2,single nucleotide variant,Likely benign,Likely benign
8790,BRCA2,single nucleotide variant,Likely benign,Likely benign
8791,BRCA2,single nucleotide variant,Likely benign,Likely benign
8792,BRCA2,single nucleotide variant,Likely benign,Likely benign
8793,BRCA2,single nucleotide variant,Likely benign,Likely benign
8794,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
8795,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
8796,BRCA2,single nucleotide variant,Likely benign,Likely benign
8797,BRCA2,single nucleotide variant,Likely benign,Likely benign
8798,BRCA2,single nucleotide variant,Likely benign,Likely benign
8799,BRCA2,single nucleotide variant,Likely benign,Likely benign
8800,BRCA2,single nucleotide variant,Likely benign,Likely benign
8801,BRCA2,single nucleotide variant,Likely benign,Likely benign
8802,BRCA2,single nucleotide variant,Likely benign,Likely benign
8803,BRCA2,single nucleotide variant,Likely benign,Likely benign
8804,BRCA2,Duplication,Pathogenic,Pathogenic
8805,BRCA2,Duplication,Pathogenic,Pathogenic
8806,BRCA2,single nucleotide variant,Likely benign,Likely benign
8807,BRCA2,single nucleotide variant,Likely benign,Likely benign
8808,BRCA2,Deletion,Pathogenic,Pathogenic
8809,BRCA2,Deletion,Pathogenic,Pathogenic
8810,BRCA2,single nucleotide variant,Likely benign,Likely benign
8811,BRCA2,single nucleotide variant,Likely benign,Likely benign
8812,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
8813,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
8814,BRCA2,single nucleotide variant,Likely benign,Likely benign
8815,BRCA2,single nucleotide variant,Likely benign,Likely benign
8816,BRCA2,single nucleotide variant,Likely benign,Likely benign
8817,BRCA2,single nucleotide variant,Likely benign,Likely benign
8818,BRCA2,single nucleotide variant,Likely benign,Likely benign
8819,BRCA2,single nucleotide variant,Likely benign,Likely benign
8820,BRCA2,single nucleotide variant,Likely benign,Likely benign
8821,BRCA2,single nucleotide variant,Likely benign,Likely benign
8822,BRCA2,single nucleotide variant,Likely benign,Likely benign
8823,BRCA2,single nucleotide variant,Likely benign,Likely benign
8824,BRCA2,Insertion,Pathogenic,Pathogenic
8825,BRCA2,Insertion,Pathogenic,Pathogenic
8826,BRCA2,single nucleotide variant,Likely benign,Likely benign
8827,BRCA2,single nucleotide variant,Likely benign,Likely benign
8828,BRCA2,single nucleotide variant,Likely benign,Likely benign
8829,BRCA2,single nucleotide variant,Likely benign,Likely benign
8830,BRCA2,single nucleotide variant,Likely benign,Likely benign
8831,BRCA2,single nucleotide variant,Likely benign,Likely benign
8832,BRCA2,single nucleotide variant,Likely benign,Likely benign
8833,BRCA2,single nucleotide variant,Likely benign,Likely benign
8834,BRCA2,single nucleotide variant,Likely benign,Likely benign
8835,BRCA2,single nucleotide variant,Likely benign,Likely benign
8836,BRCA2,single nucleotide variant,Likely benign,Likely benign
8837,BRCA2,single nucleotide variant,Likely benign,Likely benign
8838,BRCA2,single nucleotide variant,Likely benign,Likely benign
8839,BRCA2,single nucleotide variant,Likely benign,Likely benign
8840,BRCA2,single nucleotide variant,Likely benign,Likely benign
8841,BRCA2,single nucleotide variant,Likely benign,Likely benign
8842,BRCA2,single nucleotide variant,Likely benign,Likely benign
8843,BRCA2,single nucleotide variant,Likely benign,Likely benign
8844,BRCA2,single nucleotide variant,Likely benign,Likely benign
8845,BRCA2,single nucleotide variant,Likely benign,Likely benign
8846,BRCA2,single nucleotide variant,Likely benign,Likely benign
8847,BRCA2,single nucleotide variant,Likely benign,Likely benign
8848,BRCA2,single nucleotide variant,Likely benign,Likely benign
8849,BRCA2,single nucleotide variant,Likely benign,Likely benign
8850,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8851,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8852,BRCA2,single nucleotide variant,Likely benign,Likely benign
8853,BRCA2,single nucleotide variant,Likely benign,Likely benign
8854,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8855,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8856,BRCA2,Deletion,Pathogenic,Pathogenic
8857,BRCA2,Deletion,Pathogenic,Pathogenic
8858,BRCA2,Duplication,Pathogenic,Pathogenic
8859,BRCA2,Duplication,Pathogenic,Pathogenic
8860,BRCA2,single nucleotide variant,Likely benign,Likely benign
8861,BRCA2,single nucleotide variant,Likely benign,Likely benign
8862,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8863,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8864,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8865,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8866,BRCA2,single nucleotide variant,Likely benign,Likely benign
8867,BRCA2,single nucleotide variant,Likely benign,Likely benign
8868,BRCA2,single nucleotide variant,Likely benign,Likely benign
8869,BRCA2,single nucleotide variant,Likely benign,Likely benign
8870,BRCA2,single nucleotide variant,Likely benign,Likely benign
8871,BRCA2,single nucleotide variant,Likely benign,Likely benign
8872,BRCA2,Deletion,Pathogenic,Pathogenic
8873,BRCA2,Deletion,Pathogenic,Pathogenic
8874,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8875,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8876,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8877,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8878,BRCA2,single nucleotide variant,Likely benign,Likely benign
8879,BRCA2,single nucleotide variant,Likely benign,Likely benign
8880,BRCA2,single nucleotide variant,Likely benign,Likely benign
8881,BRCA2,single nucleotide variant,Likely benign,Likely benign
8882,BRCA2,single nucleotide variant,Likely benign,Likely benign
8883,BRCA2,single nucleotide variant,Likely benign,Likely benign
8884,BRCA2,single nucleotide variant,Benign,Benign
8885,BRCA2,single nucleotide variant,Benign,Benign
8886,BRCA2,single nucleotide variant,Likely benign,Likely benign
8887,BRCA2,single nucleotide variant,Likely benign,Likely benign
8888,BRCA2,single nucleotide variant,Likely benign,Likely benign
8889,BRCA2,single nucleotide variant,Likely benign,Likely benign
8890,BRCA2,single nucleotide variant,Likely benign,Likely benign
8891,BRCA2,single nucleotide variant,Likely benign,Likely benign
8892,BRCA2,single nucleotide variant,Likely benign,Likely benign
8893,BRCA2,single nucleotide variant,Likely benign,Likely benign
8894,BRCA2,single nucleotide variant,Likely benign,Likely benign
8895,BRCA2,single nucleotide variant,Likely benign,Likely benign
8896,BRCA2,single nucleotide variant,Likely benign,Likely benign
8897,BRCA2,single nucleotide variant,Likely benign,Likely benign
8898,BRCA2,single nucleotide variant,Likely benign,Likely benign
8899,BRCA2,single nucleotide variant,Likely benign,Likely benign
8900,BRCA2,single nucleotide variant,Likely benign,Likely benign
8901,BRCA2,single nucleotide variant,Likely benign,Likely benign
8902,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
8903,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
8904,BRCA2,single nucleotide variant,Likely benign,Likely benign
8905,BRCA2,single nucleotide variant,Likely benign,Likely benign
8906,BRCA2,single nucleotide variant,Likely pathogenic,Likely pathogenic
8907,BRCA2,single nucleotide variant,Likely pathogenic,Likely pathogenic
8908,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8909,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8910,BRCA2,single nucleotide variant,Likely benign,Likely benign
8911,BRCA2,single nucleotide variant,Likely benign,Likely benign
8912,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8913,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8914,BRCA2,single nucleotide variant,Likely benign,Likely benign
8915,BRCA2,single nucleotide variant,Likely benign,Likely benign
8916,BRCA2,single nucleotide variant,Likely benign,Likely benign
8917,BRCA2,single nucleotide variant,Likely benign,Likely benign
8918,BRCA2,single nucleotide variant,Likely benign,Likely benign
8919,BRCA2,single nucleotide variant,Likely benign,Likely benign
8920,BRCA2,single nucleotide variant,Likely benign,Likely benign
8921,BRCA2,single nucleotide variant,Likely benign,Likely benign
8922,BRCA2,single nucleotide variant,Likely benign,Likely benign
8923,BRCA2,single nucleotide variant,Likely benign,Likely benign
8924,BRCA2,single nucleotide variant,Likely benign,Likely benign
8925,BRCA2,single nucleotide variant,Likely benign,Likely benign
8926,BRCA2,single nucleotide variant,Likely benign,Likely benign
8927,BRCA2,single nucleotide variant,Likely benign,Likely benign
8928,BRCA2,single nucleotide variant,Likely benign,Likely benign
8929,BRCA2,single nucleotide variant,Likely benign,Likely benign
8930,BRCA2,single nucleotide variant,Likely benign,Likely benign
8931,BRCA2,single nucleotide variant,Likely benign,Likely benign
8932,BRCA2,single nucleotide variant,Likely benign,Likely benign
8933,BRCA2,single nucleotide variant,Likely benign,Likely benign
8934,BRCA2,single nucleotide variant,Likely benign,Likely benign
8935,BRCA2,single nucleotide variant,Likely benign,Likely benign
8936,BRCA2,Deletion,Uncertain significance,Uncertain significance
8937,BRCA2,Deletion,Uncertain significance,Uncertain significance
8938,BRCA2,single nucleotide variant,Likely benign,Likely benign
8939,BRCA2,single nucleotide variant,Likely benign,Likely benign
8940,BRCA2,single nucleotide variant,Likely benign,Likely benign
8941,BRCA2,single nucleotide variant,Likely benign,Likely benign
8942,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8943,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8944,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8945,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8946,BRCA2,single nucleotide variant,Likely benign,Likely benign
8947,BRCA2,single nucleotide variant,Likely benign,Likely benign
8948,BRCA2,single nucleotide variant,Likely benign,Likely benign
8949,BRCA2,single nucleotide variant,Likely benign,Likely benign
8950,BRCA2,single nucleotide variant,Likely benign,Likely benign
8951,BRCA2,single nucleotide variant,Likely benign,Likely benign
8952,BRCA2,single nucleotide variant,Likely benign,Likely benign
8953,BRCA2,single nucleotide variant,Likely benign,Likely benign
8954,BRCA2,single nucleotide variant,Likely benign,Likely benign
8955,BRCA2,single nucleotide variant,Likely benign,Likely benign
8956,BRCA2,single nucleotide variant,Likely benign,Likely benign
8957,BRCA2,single nucleotide variant,Likely benign,Likely benign
8958,BRCA2,single nucleotide variant,Likely benign,Likely benign
8959,BRCA2,single nucleotide variant,Likely benign,Likely benign
8960,BRCA2,single nucleotide variant,Likely benign,Likely benign
8961,BRCA2,single nucleotide variant,Likely benign,Likely benign
8962,BRCA2,single nucleotide variant,Likely benign,Likely benign
8963,BRCA2,single nucleotide variant,Likely benign,Likely benign
8964,BRCA2,single nucleotide variant,Likely benign,Likely benign
8965,BRCA2,single nucleotide variant,Likely benign,Likely benign
8966,BRCA2,single nucleotide variant,Likely benign,Likely benign
8967,BRCA2,single nucleotide variant,Likely benign,Likely benign
8968,BRCA2,single nucleotide variant,Likely benign,Likely benign
8969,BRCA2,single nucleotide variant,Likely benign,Likely benign
8970,BRCA2,single nucleotide variant,Likely benign,Likely benign
8971,BRCA2,single nucleotide variant,Likely benign,Likely benign
8972,BRCA2,single nucleotide variant,Likely benign,Likely benign
8973,BRCA2,single nucleotide variant,Likely benign,Likely benign
8974,BRCA2,single nucleotide variant,Likely benign,Likely benign
8975,BRCA2,single nucleotide variant,Likely benign,Likely benign
8976,BRCA2,single nucleotide variant,Likely benign,Likely benign
8977,BRCA2,single nucleotide variant,Likely benign,Likely benign
8978,BRCA2,single nucleotide variant,Likely benign,Likely benign
8979,BRCA2,single nucleotide variant,Likely benign,Likely benign
8980,BRCA2,single nucleotide variant,Likely benign,Likely benign
8981,BRCA2,single nucleotide variant,Likely benign,Likely benign
8982,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
8983,BRCA2,single nucleotide variant,Pathogenic,Pathogenic
8984,BRCA2,single nucleotide variant,Likely benign,Likely benign
8985,BRCA2,single nucleotide variant,Likely benign,Likely benign
8986,BRCA2,Duplication,Pathogenic,Pathogenic
8987,BRCA2,Duplication,Pathogenic,Pathogenic
8988,BRCA2,single nucleotide variant,Likely benign,Likely benign
8989,BRCA2,single nucleotide variant,Likely benign,Likely benign
8990,BRCA2,single nucleotide variant,Likely benign,Likely benign
8991,BRCA2,single nucleotide variant,Likely benign,Likely benign
8992,BRCA2,Deletion,Pathogenic,Pathogenic
8993,BRCA2,Deletion,Pathogenic,Pathogenic
8994,BRCA2,single nucleotide variant,Likely benign,Likely benign
8995,BRCA2,single nucleotide variant,Likely benign,Likely benign
8996,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8997,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
8998,BRCA2,single nucleotide variant,Likely benign,Likely benign
8999,BRCA2,single nucleotide variant,Likely benign,Likely benign
9000,BRCA2,single nucleotide variant,Likely benign,Likely benign
9001,BRCA2,single nucleotide variant,Likely benign,Likely benign
9002,BRCA2,Deletion,Pathogenic,Pathogenic
9003,BRCA2,Deletion,Pathogenic,Pathogenic
9004,BRCA2,single nucleotide variant,Likely benign,Likely benign
9005,BRCA2,single nucleotide variant,Likely benign,Likely benign
9006,BRCA2,single nucleotide variant,Likely benign,Likely benign
9007,BRCA2,single nucleotide variant,Likely benign,Likely benign
9008,BRCA2,Microsatellite,Pathogenic,Pathogenic
9009,BRCA2,Microsatellite,Pathogenic,Pathogenic
9010,BRCA2,single nucleotide variant,Likely benign,Likely benign
9011,BRCA2,single nucleotide variant,Likely benign,Likely benign
9012,BRCA2,single nucleotide variant,Likely benign,Likely benign
9013,BRCA2,single nucleotide variant,Likely benign,Likely benign
9014,BRCA2,single nucleotide variant,Benign,Benign
9015,BRCA2,single nucleotide variant,Benign,Benign
9016,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
9017,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
9018,BRCA2,single nucleotide variant,Likely benign,Likely benign
9019,BRCA2,single nucleotide variant,Likely benign,Likely benign
9020,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
9021,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
9022,BRCA2,Indel,Pathogenic,Pathogenic
9023,BRCA2,Indel,Pathogenic,Pathogenic
9024,BRCA2,single nucleotide variant,Likely benign,Likely benign
9025,BRCA2,single nucleotide variant,Likely benign,Likely benign
9026,BRCA2,single nucleotide variant,Likely benign,Likely benign
9027,BRCA2,single nucleotide variant,Likely benign,Likely benign
9028,BRCA2,single nucleotide variant,Likely benign,Likely benign
9029,BRCA2,single nucleotide variant,Likely benign,Likely benign
9030,BRCA2,single nucleotide variant,Likely benign,Likely benign
9031,BRCA2,single nucleotide variant,Likely benign,Likely benign
9032,BRCA2,single nucleotide variant,Likely benign,Likely benign
9033,BRCA2,single nucleotide variant,Likely benign,Likely benign
9034,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
9035,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
9036,BRCA2,single nucleotide variant,Likely benign,Likely benign
9037,BRCA2,single nucleotide variant,Likely benign,Likely benign
9038,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
9039,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
9040,BRCA2,single nucleotide variant,Likely benign,Likely benign
9041,BRCA2,single nucleotide variant,Likely benign,Likely benign
9042,BRCA2,single nucleotide variant,Likely benign,Likely benign
9043,BRCA2,single nucleotide variant,Likely benign,Likely benign
9044,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
9045,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
9046,BRCA2,single nucleotide variant,Likely benign,Likely benign
9047,BRCA2,single nucleotide variant,Likely benign,Likely benign
9048,BRCA2,single nucleotide variant,Likely benign,Likely benign
9049,BRCA2,single nucleotide variant,Likely benign,Likely benign
9050,BRCA2,single nucleotide variant,Likely benign,Likely benign
9051,BRCA2,single nucleotide variant,Likely benign,Likely benign
9052,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
9053,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
9054,BRCA2,single nucleotide variant,Likely benign,Likely benign
9055,BRCA2,single nucleotide variant,Likely benign,Likely benign
9056,BRCA2,single nucleotide variant,Likely benign,Likely benign
9057,BRCA2,single nucleotide variant,Likely benign,Likely benign
9058,BRCA2,single nucleotide variant,Likely benign,Likely benign
9059,BRCA2,single nucleotide variant,Likely benign,Likely benign
9060,BRCA2,single nucleotide variant,Likely benign,Likely benign
9061,BRCA2,single nucleotide variant,Likely benign,Likely benign
9062,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
9063,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
9064,BRCA2,single nucleotide variant,Likely benign,Likely benign
9065,BRCA2,single nucleotide variant,Likely benign,Likely benign
9066,BRCA2,single nucleotide variant,Likely benign,Likely benign
9067,BRCA2,single nucleotide variant,Likely benign,Likely benign
9068,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
9069,BRCA2,single nucleotide variant,Uncertain significance,Uncertain significance
9070,BRCA1,single nucleotide variant,Likely benign,Likely benign
9071,BRCA1,single nucleotide variant,Likely benign,Likely benign
9072,BRCA1,single nucleotide variant,Benign,Benign
9073,BRCA1,single nucleotide variant,Benign,Benign
9074,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9075,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9076,BRCA1,single nucleotide variant,Likely benign,Likely benign
9077,BRCA1,single nucleotide variant,Likely benign,Likely benign
9078,BRCA1,single nucleotide variant,Likely benign,Likely benign
9079,BRCA1,single nucleotide variant,Likely benign,Likely benign
9080,BRCA1,single nucleotide variant,Likely benign,Likely benign
9081,BRCA1,single nucleotide variant,Likely benign,Likely benign
9082,BRCA1,single nucleotide variant,Likely benign,Likely benign
9083,BRCA1,single nucleotide variant,Likely benign,Likely benign
9084,BRCA1,single nucleotide variant,Likely benign,Likely benign
9085,BRCA1,single nucleotide variant,Likely benign,Likely benign
9086,BRCA1,Indel,Pathogenic,Pathogenic
9087,BRCA1,Indel,Pathogenic,Pathogenic
9088,BRCA1,single nucleotide variant,Likely benign,Likely benign
9089,BRCA1,single nucleotide variant,Likely benign,Likely benign
9090,BRCA1,single nucleotide variant,Likely benign,Likely benign
9091,BRCA1,single nucleotide variant,Likely benign,Likely benign
9092,BRCA1,Deletion,Pathogenic,Pathogenic
9093,BRCA1,Deletion,Pathogenic,Pathogenic
9094,BRCA1,single nucleotide variant,Likely benign,Likely benign
9095,BRCA1,single nucleotide variant,Likely benign,Likely benign
9096,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9097,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9098,BRCA1,single nucleotide variant,Likely benign,Likely benign
9099,BRCA1,single nucleotide variant,Likely benign,Likely benign
9100,BRCA1,single nucleotide variant,Likely benign,Likely benign
9101,BRCA1,single nucleotide variant,Likely benign,Likely benign
9102,BRCA1,single nucleotide variant,Likely benign,Likely benign
9103,BRCA1,single nucleotide variant,Likely benign,Likely benign
9104,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
9105,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
9106,BRCA1,single nucleotide variant,Likely benign,Likely benign
9107,BRCA1,single nucleotide variant,Likely benign,Likely benign
9108,BRCA1,single nucleotide variant,Likely benign,Likely benign
9109,BRCA1,single nucleotide variant,Likely benign,Likely benign
9110,BRCA1,single nucleotide variant,Likely benign,Likely benign
9111,BRCA1,single nucleotide variant,Likely benign,Likely benign
9112,BRCA1,single nucleotide variant,Likely benign,Likely benign
9113,BRCA1,single nucleotide variant,Likely benign,Likely benign
9114,BRCA1,single nucleotide variant,Likely benign,Likely benign
9115,BRCA1,single nucleotide variant,Likely benign,Likely benign
9116,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9117,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9118,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9119,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9120,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9121,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9122,BRCA1,single nucleotide variant,Likely benign,Likely benign
9123,BRCA1,single nucleotide variant,Likely benign,Likely benign
9124,BRCA1,single nucleotide variant,Likely benign,Likely benign
9125,BRCA1,single nucleotide variant,Likely benign,Likely benign
9126,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9127,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9128,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
9129,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
9130,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9131,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9132,BRCA1,single nucleotide variant,Likely benign,Likely benign
9133,BRCA1,single nucleotide variant,Likely benign,Likely benign
9134,BRCA1,single nucleotide variant,Likely benign,Likely benign
9135,BRCA1,single nucleotide variant,Likely benign,Likely benign
9136,BRCA1,single nucleotide variant,Likely benign,Likely benign
9137,BRCA1,single nucleotide variant,Likely benign,Likely benign
9138,BRCA1,single nucleotide variant,Likely benign,Likely benign
9139,BRCA1,single nucleotide variant,Likely benign,Likely benign
9140,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
9141,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
9142,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9143,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9144,BRCA1,single nucleotide variant,Likely benign,Likely benign
9145,BRCA1,single nucleotide variant,Likely benign,Likely benign
9146,BRCA1,single nucleotide variant,Likely benign,Likely benign
9147,BRCA1,single nucleotide variant,Likely benign,Likely benign
9148,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9149,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9150,BRCA1,single nucleotide variant,Likely benign,Likely benign
9151,BRCA1,single nucleotide variant,Likely benign,Likely benign
9152,BRCA1,single nucleotide variant,Likely benign,Likely benign
9153,BRCA1,single nucleotide variant,Likely benign,Likely benign
9154,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
9155,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
9156,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9157,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9158,BRCA1,single nucleotide variant,Likely benign,Likely benign
9159,BRCA1,single nucleotide variant,Likely benign,Likely benign
9160,BRCA1,single nucleotide variant,Likely benign,Likely benign
9161,BRCA1,single nucleotide variant,Likely benign,Likely benign
9162,BRCA1,Deletion,Pathogenic,Pathogenic
9163,BRCA1,Deletion,Pathogenic,Pathogenic
9164,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9165,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9166,BRCA1,single nucleotide variant,Likely benign,Likely benign
9167,BRCA1,single nucleotide variant,Likely benign,Likely benign
9168,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9169,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9170,BRCA1,single nucleotide variant,Likely benign,Likely benign
9171,BRCA1,single nucleotide variant,Likely benign,Likely benign
9172,BRCA1,single nucleotide variant,Likely benign,Likely benign
9173,BRCA1,single nucleotide variant,Likely benign,Likely benign
9174,BRCA1,single nucleotide variant,Likely benign,Likely benign
9175,BRCA1,single nucleotide variant,Likely benign,Likely benign
9176,BRCA1,single nucleotide variant,Likely benign,Likely benign
9177,BRCA1,single nucleotide variant,Likely benign,Likely benign
9178,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
9179,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
9180,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9181,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9182,BRCA1,single nucleotide variant,Likely benign,Likely benign
9183,BRCA1,single nucleotide variant,Likely benign,Likely benign
9184,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9185,BRCA1,single nucleotide variant,Uncertain significance,Uncertain significance
9186,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
9187,BRCA1,single nucleotide variant,Pathogenic,Pathogenic
9188,BRCA1,single nucleotide variant,Likely benign,Likely benign
9189,BRCA1,single nucleotide variant,Likely benign,Likely benign
9190,BRCA1,single nucleotide variant,Likely benign,Likely benign
9191,BRCA1,single nucleotide variant,Likely benign,Likely benign
9192,BRCA1,single nucleotide variant,Likely benign,Likely benign
9193,BRCA1,single nucleotide variant,Likely benign,Likely benign
9194,BRCA1,single nucleotide variant,Likely benign,Likely benign
9195,BRCA1,single nucleotide variant,Likely benign,Likely benign
9196,BRCA1,single nucleotide variant,Likely benign,Likely benign
9197,BRCA1,single nucleotide variant,Likely benign,Likely benign
